id,cx,cy,frames,detections,top_class,avg_score
2167,1213.0,388.3333333333333,2,3,unknown,0.0
2168,1212.6666666666667,424.1666666666667,6,6,unknown,0.0
2169,1251.6666666666667,426.3333333333333,3,3,unknown,0.0
2170,0.0,8.0,2,2,unknown,0.0
2171,2.0,54.0,2,2,unknown,0.0
2172,2.25,106.75,4,4,unknown,0.0
2173,27.0,84.0,2,2,unknown,0.0
2174,24.285714285714285,548.7142857142857,6,7,unknown,0.0
2175,56.333333333333336,376.3333333333333,3,3,unknown,0.0
2176,50.0,527.0,2,2,unknown,0.0
2177,43.0,457.6666666666667,3,3,unknown,0.0
2178,52.714285714285715,90.42857142857143,6,7,unknown,0.0
2179,101.66666666666667,385.0,3,3,unknown,0.0
2180,96.5,30.0,2,2,unknown,0.0
2181,96.25,101.0,4,4,unknown,0.0
2182,174.0,546.0,2,2,unknown,0.0
2183,187.0,402.0,1,2,unknown,0.0
2184,238.5,53.5,2,2,unknown,0.0
2185,257.0,359.2,5,5,unknown,0.0
2186,280.0,545.9,9,10,unknown,0.0
2187,266.3333333333333,570.8333333333334,5,6,unknown,0.0
2188,285.0,598.6666666666666,3,3,unknown,0.0
2189,280.0,440.8,4,5,unknown,0.0
2190,306.85714285714283,467.85714285714283,7,7,unknown,0.0
2191,323.0,385.0,2,2,unknown,0.0
2192,332.8888888888889,614.1111111111111,7,9,unknown,0.0
2193,321.0,71.83333333333333,5,6,unknown,0.0
2194,342.0,482.0,2,2,unknown,0.0
2195,343.0,546.5,2,2,unknown,0.0
2196,390.5,634.0,2,2,unknown,0.0
2197,397.3333333333333,427.0,3,3,unknown,0.0
2198,409.0,54.5,1,2,unknown,0.0
2199,449.3333333333333,357.3333333333333,3,3,unknown,0.0
2200,459.0,58.5,2,2,unknown,0.0
2201,480.0,539.3333333333334,2,3,unknown,0.0
2202,503.42857142857144,621.6428571428571,9,14,unknown,0.0
2203,492.0,346.75,4,4,unknown,0.0
2204,497.0,655.8,5,5,unknown,0.0
2205,512.3333333333334,425.3333333333333,3,3,unknown,0.0
2206,552.5,627.75,3,4,unknown,0.0
2207,547.0,480.5,2,2,unknown,0.0
2208,583.0,546.4,4,5,unknown,0.0
2209,574.5,337.5,2,2,unknown,0.0
2210,615.6666666666666,682.6666666666666,2,3,unknown,0.0
2211,666.0,421.5,2,2,unknown,0.0
2212,693.0,673.375,6,8,unknown,0.0
2213,698.5,23.0,2,2,unknown,0.0
2214,702.3333333333334,552.3333333333334,3,3,unknown,0.0
2215,720.0,340.5,2,2,unknown,0.0
2216,721.0,666.0,2,2,unknown,0.0
2217,766.0,410.0,2,2,unknown,0.0
2218,798.6666666666666,480.0,3,3,unknown,0.0
2219,837.5,551.0,2,2,unknown,0.0
2220,898.3333333333334,586.6666666666666,3,3,unknown,0.0
2221,943.2,332.4,5,5,unknown,0.0
2222,960.3333333333334,637.0,3,3,unknown,0.0
2223,1020.0,256.5,1,2,unknown,0.0
2224,1028.0,567.0,2,2,unknown,0.0
2225,1036.0,461.0,2,2,unknown,0.0
2226,1059.5,295.0,2,2,unknown,0.0
2227,1125.3333333333333,435.3333333333333,3,3,unknown,0.0
2228,1139.5,633.0,2,2,unknown,0.0
2229,1147.5,651.0,2,2,unknown,0.0
2230,1179.5,496.0,2,2,unknown,0.0
2231,1176.0,464.8,5,5,unknown,0.0
2232,1224.75,296.75,4,4,unknown,0.0
2233,1255.5,489.0,2,2,unknown,0.0
2234,1252.0,530.0,2,2,unknown,0.0
2235,1257.0,466.5,2,2,unknown,0.0
2236,4.0,264.0,2,2,unknown,0.0
2237,9.0,690.5,1,2,unknown,0.0
2238,24.0,43.75,4,4,unknown,0.0
2239,41.0,19.5,4,4,unknown,0.0
2240,73.83333333333333,434.1666666666667,6,6,unknown,0.0
2241,86.0,571.0,3,3,unknown,0.0
2242,99.75,420.0,3,4,unknown,0.0
2243,131.2,447.6,4,5,unknown,0.0
2244,135.0,683.0,1,2,unknown,0.0
2245,143.66666666666666,10.666666666666666,3,3,unknown,0.0
2246,143.5,572.0,2,2,unknown,0.0
2247,234.875,600.875,6,8,unknown,0.0
2248,294.3333333333333,58.333333333333336,3,3,unknown,0.0
2249,353.8,456.6,4,5,unknown,0.0
2250,366.0,424.0,5,6,unknown,0.0
2251,394.3333333333333,328.6666666666667,2,3,unknown,0.0
2252,391.5,567.5,3,4,unknown,0.0
2253,404.6666666666667,541.3333333333334,3,3,unknown,0.0
2254,427.5,329.25,3,4,unknown,0.0
2255,431.5,597.5,2,2,unknown,0.0
2256,445.6666666666667,323.0,3,3,unknown,0.0
2257,450.0,448.5,1,2,unknown,0.0
2258,456.6666666666667,622.6666666666666,1,3,unknown,0.0
2259,459.3333333333333,376.0,3,3,unknown,0.0
2260,510.1111111111111,56.0,7,9,unknown,0.0
2261,541.2,350.0,4,5,unknown,0.0
2262,586.0,650.5,2,2,unknown,0.0
2263,662.0,669.5,4,4,unknown,0.0
2264,671.0,627.6666666666666,3,3,unknown,0.0
2265,667.0,513.0,2,2,unknown,0.0
2266,709.5,650.6,8,10,unknown,0.0
2267,720.5,403.0,2,2,unknown,0.0
2268,768.5,505.5,2,2,unknown,0.0
2269,801.0,527.5,2,2,unknown,0.0
2270,830.5,286.5,2,2,unknown,0.0
2271,834.0,637.5,2,2,unknown,0.0
2272,852.0,504.5,2,2,unknown,0.0
2273,928.3333333333334,277.6666666666667,1,3,unknown,0.0
2274,950.5,559.0,1,2,unknown,0.0
2275,975.6666666666666,321.6666666666667,3,3,unknown,0.0
2276,983.0,240.0,1,2,unknown,0.0
2277,981.3333333333334,465.6666666666667,3,3,unknown,0.0
2278,1004.1428571428571,661.7142857142857,6,7,unknown,0.0
2279,996.5,578.0,1,2,unknown,0.0
2280,995.6666666666666,631.3333333333334,3,3,unknown,0.0
2281,1019.5,503.3333333333333,6,6,unknown,0.0
2282,1052.0,639.5,2,2,unknown,0.0
2283,1067.5,565.5,2,2,unknown,0.0
2284,1088.3333333333333,256.6666666666667,3,3,unknown,0.0
